constant ,constant_value
Zero,0
Z score for the 97.5 percentile point,1.95996 39845 40054 23552 
Weierstrass constant,0.47494 93799 87920 65033 
Wallis's constant,2.09455 14815 42326 59148 
Viswanath constant,1.13198 82487 943 
Van der Pauw constant,4.53236 01418 27193 80962 
Universal parabolic constant,2.29558 71493 92638 07403 
Two,2
Twin primes constant,0.66016 18158 46869 57392 
Twelfth root of 2,1.05946 30943 59295 26456 
Tribonacci constant,1.83928 67552 14161 13255 
Taniguchi constant,0.67823 44919 17391 97803 
Supergolden ratio,1.46557 12318 76768 02665 
Stephens' constant,0.57595 99688 92945 43964 
Square root of 5,2.23606 79774 99789 69640 
Square root of 3,1.73205 08075 68877 29352 
Theodorus' constant,1.41421 35623 73095 04880 
Square root of 2,1.66168 79496 33594 12129 
Pythagoras constant,2.41421 35623 73095 04880 
Somos' quadratic recurrence constant,2.58498 17595 79253 21706
Silver ratio,1.15470 05383 79251 52901 
Sierpi?ski's constant,1.23370 05501 36169 82735 
Second Hermite constant,0.19452 80494 65325 11361
Second Favard constant,1.17628 08182 59917 50654
Second du Bois-Reymond constant,0.66170 71822 67176 23515
Salem constant,0.85073 61882 01867 26036
Robbins constant,3.35988 56662 43177 55317
Regular paperfolding sequence,262 53741 26407 68743
Reciprocal Fibonacci constant,.99999 99999 99250 073
Ramanujan's constant,1.45136 92348 83381 05028
Ramanujan–Soldner constant,0.41245 40336 40107 59778
Prouhet–Thue–Morse constant,0.41468 25098 51111 66024
Prime constant,1.46707 80794 33975 47289
Porter's constant,1.32471 79572 44746 02596
Plastic number,3.14159 26535 89793 23846
Pi,1.61803 39887 49894 84820
"Phi, Golden ratio",0.5
One half,1
One,0.56714 32904 09783 87299
Omega constant,1.70521 11401 05367 76428
Niven's constant,?1
Negative one,0.69314 71805 59945 30941
Natural logarithm of 2,0.18785 96424 62067 12024
MRB constant,1.30637 78838 63080 69046
Mills' constant,0.26149 72128 47642 78375
Meissel–Mertens constant,0.95531 66181 245092 78163
Magic angle,0.59017 02995 08048 11302 
Logarithmic capacity of the unit disk,0.97027 01143 92033 92574 
Lochs constant,0.11000 10000 00000 00000 0001 
Liouville's constant,1.53960 07178 39002 03869 
Lieb's square ice constant,3.27582 29187 21811 15978 
Lévy's constant (2),1.18656 91104 15625 45282 
Lévy's constant (1),2.62205 75542 92119 81046 
Lemniscate constant,0.66274 34193 49181 58097 
Laplace limit,0.76422 36535 89220 66299 
Landau's third constant,1.78723 16501 82965 93301
Landau's constant,2.68545 20010 65306 44530
Landau–Ramanujan constant,0.11494 20448 53296 20070
Komornik–Loreti constant,0 + 1i
Khinchin's constant,0.00131 76411 54853 17810
Kepler–Bouwkamp constant,1.58496 25007 21156 18145
Imaginary unit,0.35323 63718 54995 98454
Heath-Brown–Moroz constant,0.59634 73623 23194 07434
Hausdorff dimension of the Sierpinski triangle,0.62432 99885 43550 87099
Hafner–Sarnak–McCurley constant,2.39996 32297 28653 32223
Gompertz constant,1.28242 71291 00622 63687
Golomb–Dickman constant,1.01494 16064 09653 62502
Golden angle,23.14069 26327 79269 0057
Glaisher–Kinkelin constant,2.66514 41426 90225 18865
Gieseking constant,0.83462 68416 74073 18628
Gelfond's constant,2.80777 02420 28519 36522
Gelfond–Schneider constant,0.63092 97535 71457 43709
Gauss's constant,1.30568 6729
Fransén–Robinson constant,1.30568 8
Fractal dimension of the Cantor set,1.18745 23511 26501 05459
Fractal dimension of the Apollonian packing of circles,0.82246 70334 24113 21823
Foias constant,0.69777 46579 64007 98201
First Nielsen–Ramanujan constant,0.66131 70494 69622 33528
First continued fraction constant,4.66920 16091 02990 67185
Feller–Tornier constant,2.50290 78750 95892 82228
Feigenbaum constant ? ,2.71828 18284 59045 23536
Feigenbaum constant ?,0.57721 56649 01532 86060
Euler's number,0.86071 33205 59342 06887
Euler's constant,1.60669 51524 15291 76378
Erd?s–Tenenbaum–Ford constant,0.70258
Erd?s–Borwein constant,0.73908 51332 15160 64165
Embree–Trefethen constant,1.00743 47568 84279 37609
Dottie number,1.44224 95703 07408 38232
DeVicci's tesseract constant,1.25992 10498 94873 16476
de Bruijn–Newman constant,0.23571 11317 19232 93137
Cube root of 3,1.30357 72690 34296 39125
Cube root of 2,0.98943 12738 31146 95174
Copeland–Erd?s constant,1.84775 90650 22573 51225
Conway's constant,0.00787 49969 97812 3844
Constant related to the asymptotic behavior of Lebesgue constants,0.91596 55941 77219 01505
Connective constant for the hexagonal lattice,0.64341 05462 88338 02618
Chvátal–Sankoff constant for the binary alphabet,1.90216 05831 04
Chaitin's constants,0.28016 94990 23869 13303
Catalan's constant,0.12345 67891 01112 13141
Cahen's constant,1.45607 49485 82689 67139
Brun's constant,0.37395 58136 19202 28805
Bloch's constant,1.20205 69031 59594 28539
Bernstein's constant,NA
Base 10 Champernowne constant,NA
Backhouse's constant,NA
Artin's constant,NA
Apéry's constant,NA
